,No especificado,No recibe ingresos,Hasta un salario mínimo,Más de 1 hasta 2 salarios mínimos,Más de 2 hasta 3 salarios mínimos,Más de 3 hasta 5 salarios mínimos,Más de 5 salarios mínimos
2005-01-01,5.32,9.44,14.69,24.64,18.58,17.33,10.00
2005-02-01,5.56,8.74,14.67,24.26,19.59,17.46,9.71
2005-03-01,5.26,9.61,15.05,23.28,19.04,17.65,10.11
2005-04-01,5.67,8.93,14.58,22.82,19.27,18.10,10.63
2005-05-01,5.29,9.21,15.34,23.51,19.01,17.90,9.74
2005-06-01,5.03,9.79,15.02,22.07,19.27,18.37,10.45
2005-07-01,4.93,10.34,14.64,22.37,19.04,18.11,10.58
2005-08-01,5.04,10.26,14.41,22.53,19.35,18.02,10.40
2005-09-01,5.10,10.03,15.08,21.44,19.62,18.29,10.44
2005-10-01,5.23,9.05,13.92,21.88,19.85,19.31,10.78
2005-11-01,5.02,9.47,14.21,22.80,19.26,18.51,10.73
2005-12-01,5.63,9.17,13.51,20.86,20.34,19.47,11.03
2006-01-01,5.40,8.86,13.81,20.83,21.94,17.98,11.18
2006-02-01,5.38,7.87,13.95,22.50,22.33,16.97,10.99
2006-03-01,5.38,8.28,13.92,21.50,22.56,17.20,11.16
2006-04-01,5.50,8.23,13.38,21.32,22.04,18.18,11.35
2006-05-01,5.42,8.36,13.76,22.06,22.27,17.00,11.12
2006-06-01,5.29,8.97,13.48,20.51,22.08,18.02,11.64
2006-07-01,5.44,9.16,12.89,20.36,22.30,17.61,12.23
2006-08-01,5.73,9.50,12.64,21.02,22.15,17.31,11.66
2006-09-01,5.91,9.02,13.53,19.22,22.29,17.96,12.07
2006-10-01,5.82,9.07,13.30,20.13,21.78,18.10,11.81
2006-11-01,5.74,9.10,13.31,21.25,21.63,17.46,11.50
2006-12-01,5.94,8.46,13.01,20.40,21.79,18.32,12.08
2007-01-01,5.87,8.92,12.74,21.40,21.80,17.95,11.33
2007-02-01,5.98,8.16,13.51,22.15,21.20,17.94,11.05
2007-03-01,5.77,8.05,14.10,20.93,21.49,17.90,11.75
2007-04-01,5.96,8.15,12.62,20.98,21.39,18.70,12.20
2007-05-01,5.96,8.64,12.21,21.39,21.95,18.44,11.42
2007-06-01,6.20,9.02,12.93,20.10,21.64,18.44,11.67
2007-07-01,6.03,9.54,12.50,20.03,21.11,19.16,11.63
2007-08-01,5.82,9.10,12.54,21.05,21.81,18.27,11.39
2007-09-01,6.16,8.86,12.51,20.00,21.75,18.86,11.87
2007-10-01,6.73,9.00,13.30,20.59,20.77,18.29,11.31
2007-11-01,6.79,9.07,12.85,20.66,21.58,18.22,10.83
2007-12-01,6.79,9.14,12.39,19.66,20.70,19.28,12.03
2008-01-01,7.32,8.71,12.21,20.37,23.31,16.41,11.67
2008-02-01,6.76,8.35,12.56,21.15,23.53,16.68,10.97
2008-03-01,6.61,8.09,12.56,20.30,23.50,17.35,11.58
2008-04-01,6.41,8.37,12.48,19.99,23.18,17.76,11.80
2008-05-01,7.06,8.12,11.94,21.00,23.83,16.96,11.09
2008-06-01,7.09,8.45,12.25,20.95,22.78,17.02,11.45
2008-07-01,6.46,9.24,12.37,19.97,23.56,16.59,11.82
2008-08-01,7.50,8.93,11.42,20.59,23.29,17.00,11.25
2008-09-01,7.43,8.01,12.16,19.79,24.02,16.84,11.75
2008-10-01,7.44,8.40,12.24,19.48,23.95,17.29,11.19
2008-11-01,8.25,8.47,12.30,21.16,22.76,16.62,10.45
2008-12-01,8.81,9.37,11.69,19.31,23.34,16.56,10.93
2009-01-01,7.45,8.10,13.01,23.23,20.41,17.58,10.21
2009-02-01,8.09,7.69,12.89,23.49,20.86,16.97,10.01
2009-03-01,7.79,7.36,12.72,23.29,20.21,18.04,10.59
2009-04-01,7.94,8.21,12.96,22.89,19.71,17.69,10.60
2009-05-01,8.13,8.10,13.91,22.63,19.98,17.13,10.13
2009-06-01,8.54,8.91,13.05,21.75,19.45,17.82,10.47
2009-07-01,8.60,9.38,13.15,21.92,20.28,17.10,9.57
2009-08-01,8.24,8.50,13.89,22.43,19.85,17.37,9.73
2009-09-01,7.86,8.88,14.08,22.86,19.39,17.24,9.69
2009-10-01,8.52,9.16,13.98,22.89,19.87,16.79,8.79
2009-11-01,8.43,8.48,14.21,23.06,20.17,16.77,8.88
2009-12-01,8.90,9.16,13.00,22.37,20.09,16.80,9.68
2010-01-01,7.44,8.43,13.69,24.33,20.93,16.91,8.28
2010-02-01,8.11,7.41,14.08,23.83,21.45,16.84,8.28
2010-03-01,8.18,7.82,13.24,23.82,21.11,16.54,9.29
2010-04-01,8.18,8.43,14.45,23.90,20.56,16.03,8.45
2010-05-01,7.92,8.29,13.93,23.71,20.99,16.70,8.46
2010-06-01,8.59,8.92,12.91,22.75,20.68,17.24,8.90
2010-07-01,8.24,9.71,13.10,22.45,20.91,17.11,8.48
2010-08-01,8.41,8.87,13.26,22.94,21.43,16.21,8.88
2010-09-01,8.64,8.40,13.55,22.81,21.05,16.81,8.75
2010-10-01,8.23,8.84,13.20,22.81,21.36,17.17,8.40
2010-11-01,8.51,8.53,13.01,23.79,21.18,16.98,7.99
2010-12-01,9.40,8.45,11.96,22.31,21.46,17.68,8.74
2011-01-01,9.16,8.24,12.41,23.08,22.05,16.73,8.32
2011-02-01,9.36,7.10,12.57,24.05,21.95,16.34,8.63
2011-03-01,8.68,7.52,12.91,22.98,21.91,17.63,8.38
2011-04-01,8.84,7.43,13.09,22.26,22.17,17.45,8.77
2011-05-01,8.78,8.17,12.83,23.52,22.34,16.30,8.07
